Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_19_119,VGND,li1,60.4900,65.2800,0.000000
FILLER_19_113,VGND,li1,58.8800,65.2800,0.000000
FILLER_19_109,VGND,li1,56.3500,65.2800,0.000000
FILLER_19_97,VGND,li1,52.9000,65.2800,0.000000
FILLER_19_85,VGND,li1,47.3800,65.2800,0.000000
FILLER_19_81,VGND,li1,43.4700,65.2800,0.000000
FILLER_19_69,VGND,li1,40.0200,65.2800,0.000000
FILLER_19_57,VGND,li1,32.6600,65.2800,0.000000
FILLER_19_55,VGND,li1,31.0500,65.2800,0.000000
FILLER_19_47,VGND,li1,28.9800,65.2800,0.000000
FILLER_19_37,VGND,li1,23.0000,65.2800,0.000000
FILLER_19_29,VGND,li1,20.7000,65.2800,0.000000
FILLER_19_27,VGND,li1,18.1700,65.2800,0.000000
FILLER_19_21,VGND,li1,16.5600,65.2800,0.000000
FILLER_19_17,VGND,li1,13.5700,65.2800,0.000000
FILLER_19_9,VGND,li1,11.5000,65.2800,0.000000
FILLER_18_115,VGND,li1,58.6500,59.8400,0.000006
FILLER_18_109,VGND,li1,57.0400,59.8400,0.000006
FILLER_18_97,VGND,li1,52.9000,59.8400,0.000006
FILLER_18_85,VGND,li1,47.3800,59.8400,0.000006
FILLER_18_76,VGND,li1,42.3200,59.8400,0.000006
FILLER_18_52,VGND,li1,30.3600,59.8400,0.000005
FILLER_18_27,VGND,li1,18.1700,59.8400,0.000006
FILLER_18_18,VGND,li1,14.0300,59.8400,0.000007
FILLER_18_6,VGND,li1,8.9700,59.8400,0.000007
FILLER_17_119,VGND,li1,60.4900,59.8400,0.000006
FILLER_17_113,VGND,li1,58.8800,59.8400,0.000006
FILLER_17_111,VGND,li1,56.8100,59.8400,0.000006
FILLER_17_105,VGND,li1,55.2000,59.8400,0.000006
FILLER_17_93,VGND,li1,51.0600,59.8400,0.000006
FILLER_17_69,VGND,li1,37.4900,59.8400,0.000006
FILLER_17_35,VGND,li1,21.8500,59.8400,0.000006
FILLER_17_25,VGND,li1,17.2500,59.8400,0.000006
FILLER_17_3,VGND,li1,7.3600,59.8400,0.000007
FILLER_16_117,VGND,li1,60.0300,54.4000,0.000011
FILLER_16_109,VGND,li1,57.5000,54.4000,0.000011
FILLER_16_97,VGND,li1,52.9000,54.4000,0.000011
FILLER_16_85,VGND,li1,44.8500,54.4000,0.000010
FILLER_16_83,VGND,li1,43.9300,54.4000,0.000010
FILLER_16_63,VGND,li1,34.9600,54.4000,0.000008
FILLER_16_44,VGND,li1,26.2200,54.4000,0.000006
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000009
FILLER_16_23,VGND,li1,17.0200,54.4000,0.000009
FILLER_15_119,VGND,li1,60.4900,54.4000,0.000011
FILLER_15_113,VGND,li1,58.8800,54.4000,0.000011
FILLER_15_52,VGND,li1,30.3600,54.4000,0.000007
FILLER_15_44,VGND,li1,26.4500,54.4000,0.000006
FILLER_15_3,VGND,li1,7.5900,54.4000,0.000010
FILLER_14_112,VGND,li1,58.8800,48.9600,0.000059
FILLER_14_76,VGND,li1,41.1700,48.9600,0.000047
FILLER_14_64,VGND,li1,37.7200,48.9600,0.000043
FILLER_14_58,VGND,li1,32.4300,48.9600,0.000035
FILLER_14_49,VGND,li1,28.7500,48.9600,0.000027
FILLER_14_26,VGND,li1,17.9400,48.9600,0.000027
FILLER_14_18,VGND,li1,15.6400,48.9600,0.000027
FILLER_14_14,VGND,li1,12.1900,48.9600,0.000027
FILLER_14_6,VGND,li1,10.1200,48.9600,0.000027
FILLER_13_119,VGND,li1,60.4900,48.9600,0.000059
FILLER_13_113,VGND,li1,58.8800,48.9600,0.000059
FILLER_13_108,VGND,li1,56.1200,48.9600,0.000059
FILLER_13_42,VGND,li1,25.3000,48.9600,0.000024
FILLER_13_3,VGND,li1,7.8200,48.9600,0.000027
FILLER_12_118,VGND,li1,60.2600,43.5200,0.000009
FILLER_12_106,VGND,li1,57.0400,43.5200,0.000009
FILLER_12_83,VGND,li1,43.9300,43.5200,0.000008
FILLER_12_77,VGND,li1,42.3200,43.5200,0.000008
FILLER_12_50,VGND,li1,28.7500,43.5200,0.000006
FILLER_12_26,VGND,li1,17.9400,43.5200,0.000006
FILLER_12_10,VGND,li1,10.3500,43.5200,0.000007
FILLER_12_6,VGND,li1,9.2000,43.5200,0.000007
FILLER_11_119,VGND,li1,60.4900,43.5200,0.000009
FILLER_11_113,VGND,li1,58.8800,43.5200,0.000009
FILLER_11_110,VGND,li1,56.5800,43.5200,0.000009
FILLER_11_102,VGND,li1,54.2800,43.5200,0.000009
