Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_19_119,VPWR,li1,60.4900,62.5600,1.799998
FILLER_19_113,VPWR,li1,58.8800,62.5600,1.799998
FILLER_19_109,VPWR,li1,56.3500,62.5600,1.799998
FILLER_19_97,VPWR,li1,52.9000,62.5600,1.799998
FILLER_19_85,VPWR,li1,47.3800,62.5600,1.799998
FILLER_19_82,VPWR,li1,43.7000,62.5600,1.799998
FILLER_19_74,VPWR,li1,41.4000,62.5600,1.799998
FILLER_19_65,VPWR,li1,35.8800,62.5600,1.799998
FILLER_19_57,VPWR,li1,33.5800,62.5600,1.799998
FILLER_19_48,VPWR,li1,29.4400,62.5600,1.799998
FILLER_19_37,VPWR,li1,23.2300,62.5600,1.799998
FILLER_19_29,VPWR,li1,20.7000,62.5600,1.799999
FILLER_19_27,VPWR,li1,18.1700,62.5600,1.799999
FILLER_19_23,VPWR,li1,17.0200,62.5600,1.799999
FILLER_19_17,VPWR,li1,14.0300,62.5600,1.799999
FILLER_19_9,VPWR,li1,11.5000,62.5600,1.799999
FILLER_18_115,VPWR,li1,58.6500,62.5600,1.799998
FILLER_18_109,VPWR,li1,57.0400,62.5600,1.799998
FILLER_18_97,VPWR,li1,52.9000,62.5600,1.799998
FILLER_18_85,VPWR,li1,47.3800,62.5600,1.799998
FILLER_18_83,VPWR,li1,43.9300,62.5600,1.799998
FILLER_18_70,VPWR,li1,38.1800,62.5600,1.799998
FILLER_18_39,VPWR,li1,24.1500,62.5600,1.799998
FILLER_18_29,VPWR,li1,19.0900,62.5600,1.799999
FILLER_18_10,VPWR,li1,10.3500,62.5600,1.799999
FILLER_18_6,VPWR,li1,9.2000,62.5600,1.799999
FILLER_17_119,VPWR,li1,60.4900,57.1200,1.799990
FILLER_17_113,VPWR,li1,58.8800,57.1200,1.799990
FILLER_17_106,VPWR,li1,55.6600,57.1200,1.799990
FILLER_17_94,VPWR,li1,51.5200,57.1200,1.799990
FILLER_17_57,VPWR,li1,31.9700,57.1200,1.799991
